,A,B
1,36,18.25
2,42,19.75
3,33,16.5
4,39,18.25
5,43,19.5
6,34,16.25
7,37,17.25
8,41,19
9,27,16.25
10,30,17.5
11,26,15.5
12,35,19.75
13,39,22
14,31,18.25
15,27,18.25
16,35,20.5
17,27,16
18,35,18
19,40,20.25
20,41,19.75
21,38,19
22,38,19.75
23,39,17.5
24,42,21
25,46,21.75
26,56,23
27,53,22.25
28,54,23
29,53,23
30,38,19
31,53,23.25
32,59,24
33,50,22
34,38,19
35,44,19.75
36,43,22.25
37,47,21.75
38,54,23.25
39,56,24.25
40,56,23.25
41,57,24.25
42,58,24.5
43,52,23
44,52,22.5
45,47,21.25
46,44,19.75
47,49,22.5
48,37,18.75
49,32,12.5
50,35,18
51,56,23.5
52,58,24
53,52,23.75
54,54,23.75
55,58,23.25
56,43,21.25
57,51,23.25
58,40,20.5
59,52,23.25
60,46,22.25
61,54,23.75
62,56,24.75
63,55,24.25
64,46,21.25
65,47,20.75
66,43,19.75
67,52,22.25
68,40,20.25
69,36,18.75
70,47,21.25
71,51,22
72,39,19.75
73,34,16.25
74,48,21
75,41,18.75
76,48,21.75
77,37,19.25
78,43,19.75
79,45,21.25
80,50,22
81,52,21.75
82,45,20.25
83,53,23.25
84,35,18.25
85,46,22.75
86,41,20.75
87,35,18.5
88,43,21.75
89,36,19.75
90,56,23.75
91,52,23.25
92,49,22.5
93,46,22.25
94,47,22.25
95,57,23.5
96,61,24.25
97,46,21.25
98,54,22.5
99,57,23
100,49,21.75
101,44,21.25
102,44,22
103,31,15.75
104,42,21.5
105,41,21.75
106,41,21.25
107,49,23
108,38,20.75
109,39,21
110,43,22.25
111,54,22.25
112,53,22.75
113,56,23.25
114,46,21.25
115,44,21.75
116,55,22.75
117,50,22.25
118,36,19
119,35,19.25
120,56,23.75
121,46,22.5
122,52,23.25
123,48,22.75
124,51,23.25
125,47,23.25
126,50,22.75
127,28,15.25
128,49,23
129,49,22.75
130,46,22.75
131,47,23.25
132,47,23
133,50,23.25
134,48,23.75
135,50,23
136,58,24.75
137,60,25.25
138,55,23.75
139,32,16.75
140,52,22.75
141,54,24.25
142,29,15.25
143,55,23.25
144,59,23.25
145,60,24.5
146,49,23.25
147,39,20.75
148,65,25.25
149,49,22.25
150,62,23.75
151,54,23.75
152,63,24.25
153,54,23.75
154,54,23.75
155,58,22.25
156,60,24.75
157,59,25.25
158,62,24.25
159,57,24.75
160,59,24.75
161,57,22.25
162,47,22.25
163,62,25
164,59,22.5
165,58,24
166,65,25.25
167,62,24.25
168,58,24.75
169,65,25.75
170,58,23.75
171,45,22.5
172,54,23.5
173,47,20.75
174,54,23.75
175,54,23.25
176,47,22
177,60,23.25
178,64,25.75
179,64,25
180,66,26
181,60,26
182,43,23
183,36,20.25
184,49,23.75
185,42,23
186,55,24.25
187,54,24.75
188,52,24.75
189,48,24.25
190,54,22.5
191,59,23.25
192,55,21.75
193,55,22.25
194,48,21.25
195,59,23.25
196,53,21.75
197,59,23.5
198,56,22.5
199,51,22.25
200,49,22.75
201,51,22.25
202,46,22.25
203,45,22.75
204,41,21.25
205,51,22.75
206,46,22.25
207,48,22.75
208,38,18.75
209,55,23.25
210,56,23.5
211,52,22.25
212,49,22.75
213,55,23.75
214,49,21.75
215,52,23
216,53,23.25
217,55,22.25
218,52,21.75
219,53,21.75
220,52,22.25
221,46,21.5
222,55,22
223,54,22.25
224,50,22.25
225,50,23
226,62,24.75
227,51,23
228,51,23.5
229,53,23.75
230,57,25.25
231,55,24
232,54,24.25
233,58,24.75
234,58,23
235,57,23.75
236,53,22
237,53,22
238,48,22.25
239,47,22.25
240,56,23.25
241,56,23.25
242,37,19.25
243,46,23.25
244,49,23.25
245,53,23.25
246,49,23.75
247,41,21.75
248,35,20.75
249,50,23.25
250,46,23
251,42,19.5
252,59,23
253,32,19
254,59,22
255,50,21.75
256,56,22.25
257,59,23.25
258,50,22.75
259,56,23.25
260,48,21.5
261,51,22.5
262,60,23.25
263,55,22.25
264,43,21.25
265,55,25.5
266,55,24.25
267,59,24.75
268,51,23.75
269,49,23.25
270,57,23.25
271,39,18.25
272,55,23.25
273,53,23.25
274,35,17.75
275,41,17.75
276,50,20.25
277,53,20.75
278,46,18.5
279,52,20
280,46,20.25
281,49,23.25
282,42,20.75
283,42,20.75
284,42,20.5
285,39,19.25
286,31,14.75
287,45,20.75
288,42,19.75
289,41,20
290,41,19.75
291,42,19.75
292,43,19.75
293,36,18.5
294,42,19.5
295,36,18.75
296,39,19.75
297,47,21.25
298,46,21
299,35,18.5
300,43,20.75
301,42,20
302,39,19.25
303,43,19.5
304,29,14.5
305,47,20
306,46,21.5
307,50,22.25
308,32,16
309,52,21.25
310,58,22.25
311,54,22.5
312,51,21.5
313,54,22.75
314,53,21.25
315,49,20.5
316,55,22.25
317,57,21.25
318,26,11.25
319,53,20.5
320,47,19.25
321,42,17.75
322,45,19.5
323,31,13.75
324,39,16.75
325,27,14
326,33,16.5
327,40,19.5
328,26,14
329,28,15
330,34,16.75
331,44,19.75
332,45,20.75
333,55,21
334,45,20.5
335,41,19.75
336,33,15.25
337,39,18.5
338,44,20
339,53,21.5
340,58,22.75
341,59,23
342,55,22.25
343,50,21.75
344,53,22.25
345,55,22
346,54,22.5
347,53,21.75
348,37,19
349,52,21.75
350,47,20.75
351,46,22
352,41,20.25
353,40,19.75
354,48,22
355,45,20.25
356,40,19.25
357,47,22.25
358,45,21.25
359,39,19.75
360,55,22.5
361,56,22.75
362,51,21.75
363,44,20.75
364,52,23.75
365,39,20.25
366,60,22.75
367,49,21.75
368,46,19
369,57,21
370,49,19.75
371,56,21.25
372,56,22
373,35,16.25
374,35,17.5
375,37,18.25
376,35,18
377,50,22
378,44,20.75
379,45,21.25
380,45,21.25
381,40,21.5
382,38,20.75
383,35,16.75
384,43,19.25
385,32,15.75
386,35,17.25
387,36,17.25
388,36,18.25
389,47,20.75
390,34,16.75
391,34,17.5
392,28,15.25
393,44,20.75
394,43,19.75
395,36,17.25
396,44,21.25
397,44,21.5
398,42,20.75
399,36,18.75
400,36,19.25
401,44,20.75
402,48,20.75
403,45,20.75
404,55,23.5
405,48,23.25
406,35,18
407,35,16.5
408,55,24.75
409,32,17.75
410,47,23.75
411,51,24.25
412,31,17.25
413,34,17
414,40,19.5
415,37,18
416,29,15.75
417,41,19.25
418,43,19.75
419,42,18.5
420,43,19
421,43,20.25
422,54,22.75
423,46,21.75
424,48,20.75
425,44,20.75
426,48,21.5
427,48,22
428,41,21
429,38,16.25
430,52,22
431,47,21
432,51,21.5
433,45,21
434,41,18
435,47,20.5
436,53,21.25
437,49,20.5
438,33,17.25
439,43,19.25
440,38,18.75
441,42,20
442,43,21
443,41,19
444,37,19
445,49,21
446,45,20.25
447,43,20
448,58,21.75
449,42,19.5
450,49,20.5
451,48,19.75
452,49,20.75
453,53,20.75
454,45,19
455,51,20
456,53,19.75
457,45,18.75
458,41,19.25
459,44,20.5
460,44,19.25
461,43,19.25
462,50,19.75
463,43,19.75
464,40,19.25
465,42,20.5
466,35,18.25
467,33,17
468,46,21
469,41,20
470,38,17.75
471,33,15.75
472,37,18.75
473,48,23.25
474,49,23.25
475,34,19.75
476,54,23.75
477,53,24.75
478,52,23.5
479,30,15.25
480,44,20.25
481,56,22.75
482,59,23.25
483,41,20.25
484,47,20.5
485,53,21.75
486,45,21.25
487,57,23.25
488,45,19.75
489,55,23.25
490,43,19.5
491,52,22.75
492,31,15
493,59,23.75
494,60,23
495,50,21.75
496,57,23.25
497,54,22.75
498,60,24.25
499,61,24.75
500,52,22.75
501,55,24
502,47,21.75
503,59,23.75
504,62,25
505,61,24.25
506,58,23.25
507,51,22.25
508,56,23.5
509,68,26
510,63,25.25
511,61,24.75
512,56,21.75
513,49,21.75
514,49,21.75
515,54,21.75
516,47,21.5
517,55,22.25
518,39,19.5
519,47,21.25
520,49,22
521,40,17.25
522,49,19
523,46,18.25
524,31,14.25
525,51,19
526,33,15
527,33,15
528,38,17
529,46,18.5
530,37,16.5
531,40,17
532,35,16
533,30,13.5
534,36,20.5
535,41,21
536,30,17.75
537,36,18.25
538,36,18.5
539,31,16.5
540,42,21
541,26,16
542,41,20.75
543,37,18.75
544,38,19.25
545,36,16.75
546,40,19
547,44,20.75
548,35,18.25
549,42,20
550,58,23
551,58,23
552,64,24.5
553,50,20.75
554,56,23.5
555,39,16
556,64,24
557,47,21.75
558,63,23.5
559,60,24.25
560,58,23.25
561,58,22.75
562,33,16
563,54,22.75
564,60,24.25
565,42,20.75
566,49,22.25
567,32,16.75
568,44,21.75
569,29,15.25
570,41,20
571,30,16.75
572,33,17.75
573,27,12.75
574,41,20.5
575,40,19.25
576,56,23.5
577,45,20.75
578,54,22.25
579,55,22.5
580,48,21.75
581,48,20.75
582,52,22.25
583,53,23.75
584,50,22.75
585,53,23.25
586,49,22.75
587,51,22.25
588,51,22.25
589,50,22.75
590,52,21.75
591,63,23.25
592,52,21
593,54,21.75
594,32,15.5
595,58,22.5
596,57,22.75
597,44,19.25
598,55,22.5
599,47,19.5
600,43,21.25
601,41,19.75
602,50,21.75
603,42,20.25
604,44,20.75
605,41,18.25
606,48,21.5
607,55,22.75
608,50,21.75
609,39,18
610,46,21.25
611,40,18.75
612,47,21.25
613,35,15.75
614,46,19.5
615,39,19.25
616,34,18
617,39,18.5
618,49,22.75
619,41,21.75
620,50,22
621,48,21.5
622,48,22
623,43,20.25
624,42,20.75
625,48,21.25
626,38,19.5
627,47,22.25
628,48,21
629,47,22
630,42,20.5
631,46,20.75
632,47,20.5
633,52,21.5
634,43,21.25
635,46,19.75
636,50,21.75
637,51,21.75
638,43,18.5
639,46,21.25
640,45,21.25
641,44,23
642,49,22.75
643,44,22
644,42,22
645,38,20.5
646,47,22.75
647,50,22.75
648,56,23.75
649,28,13.75
650,56,23.25
651,48,22.75
652,58,22.25
653,48,22.25
654,39,20.75
655,41,19.75
656,54,22.25
657,41,20
658,52,22.5
659,50,22
660,36,17.75
661,49,22.75
662,49,23.25
663,55,22.25
664,54,23.75
665,49,23.75
666,50,22.5
667,35,17.75
668,56,24
669,38,18.5
670,55,23.25
671,52,23.5
672,46,21.5
673,55,23.5
674,50,23
675,54,22.75
676,64,24.75
677,55,23.25
678,55,23.75
679,57,23.75
680,60,24.5
681,34,18.5
682,57,21.5
683,49,21.25
684,55,23
685,50,21
686,62,23.75
687,57,23
688,47,21.25
689,52,20
690,51,22.25
691,51,22.25
692,51,23.25
693,49,22.75
694,50,22.25
695,54,23.75
696,44,22.25
697,53,23.5
698,61,24.75
699,46,21.75
700,52,22.5
701,55,21.5
702,57,23.25
703,46,21
704,55,23.5
705,53,22.25
706,56,22.75
707,52,22.5
708,58,22.75
709,51,20.75
710,41,19.25
711,48,21.75
712,56,23.5
713,52,22.25
714,27,12.75
715,61,25.25
716,65,25.25
717,48,21.25
718,58,23.25
719,56,23.75
720,51,20.75
721,59,24.25
722,50,22.75
723,54,24.75
724,44,22
725,57,24.75
726,51,24.25
727,52,24.75
728,44,21.75
729,53,23.75
730,40,21.25
731,49,21.25
732,57,24.25
733,52,22.25
734,55,23
735,50,22.5
736,45,19.75
737,59,23.25
738,42,21
739,48,23
740,41,20
741,49,23
742,42,22.5
743,39,20.25
744,38,20
745,45,22
746,53,22
747,56,22.5
748,49,22.25
749,51,22.25
750,39,20.25
751,47,21
752,52,22.75
753,36,19.75
754,47,21.75
755,55,23.25
756,42,21.5
757,57,24
758,60,23.75
759,36,18.75
760,49,22
761,61,24.5
762,56,24.5
763,53,21.5
764,39,19.5
765,57,22.5
766,46,20.25
767,53,21.25
768,56,21.75
769,53,21
770,54,22
771,46,20.5
772,35,18.25
773,50,23.75
774,53,23.25
775,53,23.75
776,55,24.25
777,51,23.75
778,57,23.25
779,63,24.5
780,54,23.25
781,49,22.25
782,51,22.75
783,50,22.75
784,55,23.25
785,64,24.25
786,55,23.75
787,64,24
788,61,23.5
789,65,24.75
790,61,24.25
791,43,19.5
792,63,24.5
793,45,20
794,63,24
795,55,24.25
796,53,23.75
797,42,21
798,48,23
799,29,16.25
800,51,23.25
801,46,22.5
802,49,23.75
803,47,21
804,53,22.5
805,55,23.75
806,52,21.5
807,50,22
808,48,22
809,53,21.75
810,57,22.25
811,59,23.75
812,56,22.25
813,58,23.75
814,60,23.25
815,44,20.25
816,39,18.5
817,52,21.25
818,56,22.5
819,60,23.75
820,54,23
821,60,23.75
822,56,23.75
823,58,24.75
824,55,22.75
825,54,22.5
826,53,22.75
827,49,22
828,54,22.5
829,56,23.25
830,50,22
831,49,21.5
832,45,21.75
833,61,21.5
834,53,20
835,56,20.25
836,36,16
837,50,19.5
838,41,19.25
839,47,19.5
840,47,19.25
841,43,21.25
842,55,22.75
843,39,21.75
844,43,21.25
845,52,23.25
846,50,23
847,46,23.75
848,33,15.75
849,44,19.75
850,40,19.25
851,47,20.5
852,35,17
853,46,21
854,38,20
855,45,20
856,48,21.75
857,49,21.5
858,38,19.75
859,48,21.25
860,44,20.75
861,44,21
862,41,20.25
863,43,21.5
864,41,20.25
865,39,19.5
866,42,20
867,37,19
868,41,18.75
869,43,20.75
870,45,20.5
871,50,20.75
872,39,19.5
873,47,19.75
874,48,20.75
875,45,20.5
876,49,20.5
877,46,20.25
878,46,20.75
879,44,20.25
880,47,20.25
881,45,20.5
882,47,20.25
883,42,20
884,45,20.25
885,44,20
886,46,19.75
887,45,20.5
888,34,16.5
889,31,16
890,45,19.25
891,27,12.75
892,28,15
893,44,19
894,39,18.25
895,51,20.25
896,39,18.75
897,44,19.5
898,43,18.75
899,53,23.5
900,55,23
901,40,20.5
902,49,22.25
903,51,22.25
904,59,23.75
905,42,21.25
906,51,22.25
907,50,21.75
908,53,21.75
909,48,21.25
910,45,21.25
911,44,20.25
912,45,20
913,46,21.25
914,46,21
915,45,19.75
916,33,19.75
917,44,21.5
918,52,23.5
919,48,22.75
920,28,15.5
921,49,22.25
922,46,21.5
923,40,19.25
924,54,23
925,53,22.25
926,45,21.25
927,33,18
928,59,23.75
929,53,22.75
930,51,22.25
931,45,20.25
932,26,11.5
933,44,21.5
934,35,20.75
935,44,21.75
936,46,21.25
937,43,21.75
938,28,16
939,45,21.5
940,44,21.75
941,33,16
942,34,16.75
943,32,16
944,28,14.5
945,49,20.25
946,46,19.75
947,30,14.75
948,38,18
949,47,20
950,44,17.5
951,49,20.75
952,35,17.5
953,45,19
954,48,20
955,40,18.5
956,37,17.75
957,34,16.25
958,30,15.25
959,37,18.25
960,37,17
961,48,19.75
962,27,13.5
963,36,20
964,44,21
965,47,21.5
966,31,17
967,26,13.5
968,28,13.75
969,49,20.75
970,43,22.75
971,50,24.25
972,35,18.25
973,33,19.25
974,40,21.25
975,51,23.75
976,49,23.25
977,43,21.5
978,31,14.5
979,46,19.75
980,37,17.25
981,37,16.25
982,42,18.5
983,41,17.25
984,38,16.25
985,38,17.75
986,34,16
987,38,18.75
988,49,21
989,40,19
990,48,21
991,48,21
992,37,18
993,40,18.5
994,41,19.5
995,39,18.25
996,40,20.25
997,42,20.5
998,40,20.25
999,43,21.25
1000,48,22.75
1001,42,21.5
1002,38,19.25
1003,41,21.25
1004,41,20.25
1005,33,14.5
1006,47,19.25
1007,50,19.5
1008,35,17
1009,51,19.5
1010,38,17.5
1011,47,21.5
1012,38,19.25
1013,47,20.75
1014,51,21.75
1015,39,20.5
1016,49,21.75
1017,43,21
1018,50,22.25
1019,37,19.75
1020,55,21.25
1021,52,20.75
1022,50,20
1023,41,19.25
1024,43,18.5
1025,50,20.5
1026,50,20
1027,43,19.5
1028,40,18.5
1029,47,19.5
1030,55,20.75
1031,48,19
1032,45,19.5
1033,45,19.5
1034,51,20.5
1035,57,21.25
1036,45,19.5
1037,41,18.5
1038,46,20
1039,42,19
1040,40,18
1041,48,20.25
1042,36,17.5
1043,39,17.5
1044,42,19.25
1045,26,13
1046,49,23.5
1047,45,21.75
1048,52,24.5
1049,47,23.75
1050,46,22.75
1051,58,25.5
1052,52,23.75
1053,51,23.75
1054,49,22
1055,34,17
1056,60,22.25
1057,39,20
1058,58,23.25
1059,62,22.5
1060,51,21.25
1061,33,16.75
1062,54,22.75
1063,47,22
1064,34,17.75
1065,45,21
1066,46,21.25
1067,43,20.25
1068,50,22.25
1069,45,20.75
1070,60,24.75
1071,58,23.75
1072,61,23.25
1073,45,20.5
1074,54,22.75
1075,60,24.25
1076,57,21.75
1077,56,25.25
1078,58,24.25
1079,42,17.75
1080,59,24.25
1081,52,21.75
1082,60,24.25
1083,55,23
1084,54,22.75
1085,65,25.25
1086,57,23.75
1087,59,24.75
1088,55,23
1089,57,24.5
1090,45,22.75
1091,48,22.25
1092,66,25.25
1093,56,23.75
1094,63,24.25
1095,63,22.75
1096,59,22.25
1097,64,24.5
1098,45,21.25
1099,43,21.25
1100,38,20.5
1101,53,22
1102,53,20.75
1103,55,21.5
1104,48,20.5
1105,50,20.5
1106,49,19.75
1107,49,19.5
1108,45,21.75
1109,47,19.75
1110,37,18
1111,46,20
1112,51,20
1113,45,19
1114,36,17.75
1115,45,19.5
1116,36,17.25
1117,41,18.75
1118,51,20.75
1119,43,19
1120,35,20.75
1121,38,22
1122,29,16.75
1123,29,17.5
1124,39,21.25
1125,27,15.25
1126,39,21.25
1127,40,21.75
1128,32,18.25
1129,38,22.5
1130,28,14
1131,41,21.5
1132,44,23.25
1133,46,23.75
1134,34,18
1135,59,23.75
1136,59,24.75
1137,41,19.5
1138,52,22.25
1139,55,24.25
1140,43,21
1141,49,21.5
1142,54,23.75
1143,50,22.75
1144,47,21.75
1145,43,21.75
1146,46,22.25
1147,52,23.5
1148,48,23.25
1149,43,22.5
1150,55,23.5
1151,61,25.5
1152,49,23.75
1153,44,20.75
1154,37,20.25
1155,48,21.25
1156,62,24.75
1157,40,19.25
1158,40,20
1159,40,19.5
1160,53,22.25
1161,43,19.75
1162,37,19.25
1163,49,21.75
1164,54,22.75
1165,44,20.25
1166,34,20.5
1167,42,21.25
1168,44,21.75
1169,43,21.5
1170,39,20.25
1171,46,22.25
1172,41,19.25
1173,50,22.25
1174,39,20.75
1175,33,18.25
1176,53,22.75
1177,43,21.25
1178,51,20
1179,53,24.25
1180,46,22.5
1181,48,22.75
1182,56,24.25
1183,52,23.75
1184,49,22.5
1185,46,21.75
1186,43,22
1187,46,22.5
1188,50,23.25
1189,41,21.5
1190,52,23
1191,42,21.25
1192,42,21
1193,52,22.75
1194,51,21.75
1195,55,22.75
1196,42,21
1197,46,21.75
1198,53,23.25
1199,55,23
1200,51,22.25
1201,48,21.25
1202,57,24
1203,31,15.75
1204,33,15.75
1205,57,23.75
1206,46,21.25
1207,58,23.75
1208,62,25.5
1209,31,17
1210,48,21.5
1211,44,21.75
1212,57,25.25
1213,57,24.75
1214,47,22.75
1215,53,24.25
1216,55,24.25
1217,46,23
1218,55,25.25
1219,62,25.25
1220,60,24.75
1221,63,24.75
1222,61,25.25
1223,47,20.75
1224,63,25.75
1225,55,23.25
1226,60,23.75
1227,72,27
1228,37,17.75
1229,67,25.75
1230,32,16.25
1231,73,26.75
1232,63,24.25
1233,77,27.75
1234,27,12.5
1235,35,19.75
1236,55,25.75
1237,45,24.25
1238,58,25.5
1239,43,22.25
1240,55,24.75
1241,59,26
1242,59,25.5
1243,48,21.75
1244,48,21.75
1245,56,23.25
1246,57,23.25
1247,46,21.5
1248,52,22.25
1249,54,22.75
1250,57,24.25
1251,44,22.25
1252,51,23
1253,57,23.25
1254,53,23.25
1255,59,24.25
1256,61,24.25
1257,59,24.25
1258,30,15
1259,64,25.25
1260,59,25.5
1261,66,25.25
1262,56,24.25
1263,47,22.5
1264,60,25
1265,62,25.25
1266,59,24.25
1267,58,24.25
1268,49,21.75
1269,56,24
1270,51,22.75
1271,46,20
1272,53,23.25
1273,33,16.5
1274,41,21
1275,54,23.75
1276,46,22
1277,64,25
1278,57,24.75
1279,57,24.75
1280,62,25.25
1281,26,14.25
1282,61,25
1283,65,25.25
1284,57,23.75
1285,53,23.25
1286,54,22.75
1287,52,22.25
1288,53,23
1289,47,22.75
1290,58,24.25
1291,60,24.25
1292,47,22.5
1293,64,26.5
1294,34,17.5
1295,53,25.75
1296,52,24.25
1297,50,24.5
1298,56,24.25
1299,60,25
1300,38,19.5
1301,60,24.75
1302,42,18.5
1303,31,16.75
1304,48,22
1305,43,19.25
1306,49,21.5
1307,37,18.75
1308,40,17.75
1309,49,21
1310,39,19.25
1311,47,20.75
1312,44,20
1313,37,19.5
1314,46,20.75
1315,44,20
1316,46,21.25
1317,44,20.5
1318,45,20.5
1319,49,21.75
1320,47,21.25
1321,49,21.75
1322,52,22
1323,62,23.75
1324,52,22.25
1325,49,21.5
1326,38,17.25
1327,44,20
1328,35,16.25
1329,44,19.75
1330,38,19.75
1331,39,18.25
1332,45,20.5
1333,48,20.25
1334,57,23.25
1335,52,21.5
1336,53,22.75
1337,54,22.75
1338,53,22.75
1339,54,21.75
1340,53,22.25
1341,40,21.75
1342,43,21.25
1343,44,22.75
1344,33,17
1345,49,23.25
1346,43,22.5
1347,52,23.5
1348,42,20.5
1349,46,22
1350,42,21.5
1351,45,22.25
1352,42,21.75
1353,48,23
1354,45,22.25
1355,49,22.25
1356,48,22.75
1357,43,18.5
1358,40,18.25
1359,52,21
1360,39,18.75
1361,53,21.75
1362,53,23
1363,48,21.75
1364,42,20.75
1365,44,20.75
1366,46,22
1367,50,21.75
1368,44,20.25
1369,34,17
1370,43,20.75
1371,49,22.25
1372,44,21.25
1373,56,23
1374,50,22.5
1375,46,21.25
1376,48,21.75
1377,50,22.75
1378,39,20
1379,49,22.25
1380,43,18.75
1381,44,18.5
1382,45,18.25
1383,44,18.25
1384,39,20.5
1385,43,18
1386,48,20.75
1387,38,18.75
1388,45,19
1389,48,20.25
1390,53,22.5
1391,42,19
1392,52,21
1393,48,20.75
1394,57,22
1395,39,18.25
1396,43,20.5
1397,60,23
1398,57,23.75
1399,54,22.5
1400,50,22.25
1401,55,23
1402,55,23.75
1403,34,16.75
1404,65,24.75
1405,52,22.25
1406,51,22.25
1407,53,22.75
1408,51,21.75
1409,49,22
1410,46,22
1411,52,22
1412,55,23.25
1413,50,22.75
1414,52,22.25
1415,59,22.75
1416,57,22.75
1417,40,21.5
1418,54,22.75
1419,46,21.25
1420,46,22.75
1421,54,22.5
1422,52,22.25
1423,51,21.25
1424,52,20.25
1425,37,16.5
1426,41,17
1427,50,20.25
1428,37,20.25
1429,40,19.75
